カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
ウッドフォーク	ビギンズ	地N	G50	30	30	-	武	援護
カーバンクル	ビギンズ	地N	G20	20	20	-	-	援護 : 反射[巻物攻撃]
グレートタスカー	ビギンズ	地N	G60+地	60	50	-	巻	無効化[先制を持つクリーチャー]
ケルベロス	ビギンズ	地R	G50+地	20	40	風	巻	攻撃を2回行う
ジャッカロープ	ビギンズ	地S	G40	20	30	-	巻	援護；スペルで破壊された場合、「{地}ハンババ」として復活する
シャンブリングバイン	ビギンズ	地	?	-	-	-	-	-
ストーンウォール	ビギンズ	地N	G30	0	60	-	防巻	防御型
ダークマスター	ビギンズ	地R	G140+地+地+□	60	80	風	-	応援[{地}・ST+10] : 戦闘終了時、使用者はG100の魔力を失う
タイガービートル	ビギンズ	地N	G20	20	30	-	巻	-
トウテツ	ビギンズ	地R	G80+地	40	40	風	-	敵破壊時、ST&MHP+20 (各最大100)
ドラゴンゾンビ	ビギンズ	地N	G85	40	60	風	防	-
ドリアード	ビギンズ	地N	G50	20	30	風	武	援護[{無}{地}]；クリーチャー移動で離れた{地}の空き地へ移動できる
トロル	ビギンズ	地N	G60	40	40	火風	-	再生
ドワーフ	ビギンズ	地N	G70	30	50	-	-	-
ノーム	ビギンズ	地N	G40	20	40	-	-	このクリーチャーを配置した領地の通行料は1.5倍になる
バロン	ビギンズ	地S	G60+地	30	40	-	-	自破壊時、手札に戻る ; 配置した領地は地形変化やレベルを下げる効果を受けない (領地コマンドを除く)
ハンババ	ビギンズ	地R	G60+地+□	50	40	風	-	攻撃成功時、対戦相手に毒の{呪}効果を付ける : 応援[{風}・ST-10]
ブリンクス	ビギンズ	地N	G30	20	20	-	巻	防魔；クリーチャー移動で離れた空き地へ移動できる
マッドマン	ビギンズ	地S	G55	20	40	風	防	戦闘中、HP+(配置{地}クリーチャー数x5)
ワーボア	ビギンズ	地S	G80	20	40	-	-	戦闘中、ST+30
