カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
アーチビショップ	ビギンズ	無N	G50	30	30	-	-	アイテム破壊と盗みの効果を受けない ; 不屈 ; 秘術[G30・対象クリーチャーについた{呪}を消す (防魔では防げない)]
アビサルモナーク	ビギンズ	無	?	-	-	-	-	-
アンバーモス	ビギンズ	無S	G30	0	40	-	巻	戦闘中、"ティラノサウルス"か"G・ラット"に変身する
ウルフ	ビギンズ	無N	G10	20	40	-	巻	-
オニキス	ビギンズ	無	G100	40	40	-	-	魔術無効；強打[最大HP40以上]；どの属性の土地からも地形効果を得る
グレートフォシル	ビギンズ	無S	G30+□	0	30	-	武巻	防御型 ; 通行料を取れない ; 自破壊時、"ティラノサウルス"として復活する
クレリック	ビギンズ	無S	G50	10	30	-	-	援護 : 即死[{無}]
ゴールドトーテム	ビギンズ	無N	G0	0	30	-	武	防御型；領地能力[使用者にG200を与え、これは破壊される(G0)]
ゴブリン	ビギンズ	無N	G0	20	30	-	-	-
コロッサス	ビギンズ	無R	G120	70	70	-	武防道巻	周回回復できない : {呪}スペルの対象に選べない
サムライ	ビギンズ	無S	G50	50	30	-	-	即死[ST40以上・70%]
シーフ	ビギンズ	無N	G30	20	40	-	-	アイテムを使用しない場合、戦闘開始時、戦闘相手のアイテムを奪う
ジャイアントスパイダー	ビギンズ	無N	G10	10	30	-	巻	攻撃成功時、{人}{獣}{竜}クリーチャーにマヒの{呪}効果を付ける
ジャイアントラット	ビギンズ	無N	G0	20	10	-	巻	先制
スケルトン	ビギンズ	無N	G30	30	40	-	-	再生
スタチュー	ビギンズ	無N	G10	0	50	-	武防巻	防御型；周回ボーナスで回復しない
スチームギア	ビギンズ	無S	G60	50	50	-	巻	このクリーチャーを配置した領地の通行料は0.5倍になる
ゾンビ	ビギンズ	無N	G20	20	50	-	巻	戦闘終了時、HPが20減少する
ティラノサウルス	ビギンズ	無S	G75	50	60	-	防巻	-
デコイ	ビギンズ	無R	G50+□	0	10	-	武防巻	反射[通常攻撃]
ドッペルゲンガー	ビギンズ	無S	G10+□	0	30	-	-	戦闘中、対戦相手と同じクリーチャーに変身する
トロージャンホース	ビギンズ	無N	G30	0	30	-	武防巻	援護[全]・貫通[全]
ニンジャ	ビギンズ	無R	G60	40	40	-	-	先制；魔術強打
バトルギアα	ビギンズ	無S	G60	40	20	-	巻	援護 : "バトルギアβ"と合体 : 防魔
バトルギアβ	ビギンズ	無S	G60	20	40	-	巻	援護 : "バトルギアα"と合体 : 無効化[巻物攻撃]
バルダンダース	ビギンズ	無N	G10	0	30	-	-	戦闘中、ランダムな別のクリーチャーに変身する
バンディット	ビギンズ	無N	G20	20	20	-	-	援護；攻撃成功時、相手セプターから(相手クリーチャーに与えたダメージ×G2)を奪う
バンドルギア	ビギンズ	無E	G250	70	70	-	-	防魔 : 無効化[巻物攻撃]
ビーコンタワー	ビギンズ	無	?	-	-	-	-	-
ファイター	ビギンズ	無N	G30	40	40	-	-	-
ボージェス	ビギンズ	無R	G40	30	30	-	-	応援[{無}・HP+20]
ホーンカメレオン	ビギンズ	無N	G40	20	30	-	巻	どの属性の領地からも地形効果を得る
リトルグレイ	ビギンズ	無R	G50+□	10	30	-	-	攻撃成功時、50%の確率で対戦相手をランダムな空地に飛ばす
ルナティックヘア	ビギンズ	無S	G20	20	30	-	-	戦闘終了時、相手クリーチャーの基本ATとHPを入れ替える
レッドキャップ	ビギンズ	無S	G30+□	30	30	-	-	戦闘中、ST&HP=(配置"ゴブリン"の数x20) ; 応援["ゴブリン"・ST+20]
ワーウルフ	ビギンズ	無S	G30+□	30	30	-	-	攻撃成功時、対戦相手を"ウルフ"に変える
ワンダーウォール	ビギンズ	無S	G10+□	0	30	-	武防	防御型 ; 無効化[{火}{水}{地}{風}]
