カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
ウェンディゴ	ビギンズ	風N	G70	30	50	-	-	攻撃成功時、対戦相手に"フォッグ"の{呪}効果を付ける
エルフ	ビギンズ	風N	G70+風	40	30	-	-	先制 : 強打[{地}]
ガルーダ	ビギンズ	風R	G40+風+風	0	40	地	-	戦闘中、ST&HP=(配置{風}クリーチャー数x10)
グリフォン	ビギンズ	風N	G80	50	50	地	巻	-
グレムリン	ビギンズ	風S	G60	20	30	-	巻	戦闘開始時、戦闘相手の使用したアイテムを破壊する
ケツァルコアトル	ビギンズ	風S	G60+風	30	50	-	-	応援[先制を持つクリーチャー・ST+10]
ケンタウロス	ビギンズ	風N	G80	30	40	-	-	先制 ; 使用したアイテムは復帰[ブック]の能力を得る
コーンフォーク	ビギンズ	風N	G60	30	40	-	-	このクリーチャーが戦闘、またはスペルで破壊された場合、使用者にG200の魔力を与える
サキュバス	ビギンズ	風N	G40+□	40	40	-	-	攻撃成功時、対戦相手の基本ST=0
ジャイアントバット	ビギンズ	風N	G20	20	30	-	巻	-
スフィンクス	ビギンズ	風R	G60+風+□	40	50	地	-	攻撃成功時、対戦相手に混乱の{呪}効果を付ける : 応援[{地}・HP-10]
スプライト	ビギンズ	風N	G10	20	20	地	-	無効化[MHP40以上]
スペクター	ビギンズ	風N	G30	0	30	-	-	戦闘中、ATとHPが10～70のランダムな値になる
ダンピール	ビギンズ	風S	G60+風	40	40	-	-	即死[{地} ; 60%] ; 無効化[{地}]
ナイト	ビギンズ	風N	G80	50	40	-	-	強打[最大HP50以上]
ナイトメア	ビギンズ	風S	G40+風	30	30	-	-	貫通[全]
ハーピー	ビギンズ	風N	G50	30	30	-	-	先制
パウダーイーター	ビギンズ	風S	G10	1	1	-	巻	移動時に増殖し、元の領地と移動先の両方に配置される
ハリケーン	ビギンズ	風N	G40	20	50	-	防巻	防御型；先制
プッシュプル	ビギンズ	風S	G60	0	40	-	巻	攻撃を2回行う
ベールゼブブ	ビギンズ	風R	G140+風+風+□	70	70	地	-	応援[{風}・ST+10] : 戦闘終了時、使用者はG100の魔力を失う
ヨーウィ	ビギンズ	風N	G70	40	40	-	-	強打[{無}] ; 配置した領地の通行料は、ランダムに1/2～2.5倍になる
レベラー	ビギンズ	風S	G100+風	40	60	-	巻	戦闘が行われた領地が{風}以外の場合、戦闘終了時、領地のレベルを1下げる
ロードランナー	ビギンズ	風N	G45	20	30	-	巻	先制：クリーチャー移動で1～2マス移動できる
ワイバーン	ビギンズ	風N	G60+風	40	40	地	防	先制 ; 離れた{風}空地にも移動できる
