カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
アースシールド	ビギンズ	防S	G25	-	-	-	-	無効化[{地}] : {地}クリーチャーが使用した場合、無効化[通常攻撃]
アイシクル	ビギンズ	武N	G25	-	-	-	-	AT+30；強打[{火}]
アングリーマスク	ビギンズ	道R	G60	-	-	-	-	HP+30 ; 戦闘終了時、戦闘相手のHP-(使用クリーチャーが受けたダメージ)
ウィンドカッター	ビギンズ	巻N	G20	-	-	-	-	巻物攻撃[ST30] : 巻物強打[{地}]
ウィンドシールド	ビギンズ	防S	G25	-	-	-	-	無効化[{風}] : {風}クリーチャーが使用した場合、無効化[通常攻撃]
ウォーターシールド	ビギンズ	防S	G25	-	-	-	-	無効化[{水}] : {水}クリーチャーが使用した場合、無効化[通常攻撃]
エアスラッシャー	ビギンズ	武N	G25	-	-	-	-	AT+30；強打[{風}]
エターナルメイル	ビギンズ	防R	G40	-	-	-	-	HP+40 ; 復帰[ブック]
オーラブレード	ビギンズ	武S	G40	-	-	-	-	ST+(MHPの値)
ガセアスフォーム	ビギンズ	道N	G80	-	-	-	-	ST=0 : 無効化[通常攻撃]
カタパルト	ビギンズ	武N	G50	-	-	-	-	ST+30, HP+30
クリス	ビギンズ	武S	G50	-	-	-	-	ST+30 : アイテム破壊と盗みの効果を受けない
クレイモア	ビギンズ	武R	G60	-	-	-	-	AT+50
グレムリンアムル	ビギンズ	道S	G100	-	-	-	-	戦闘開始時、対戦相手のアイテムを破壊する
コローシブローブ	ビギンズ	防	?	-	-	-	-	-
スケールアーマー	ビギンズ	防N	G30	-	-	-	-	HP+40
ストームコーザー	ビギンズ	武R	G55	-	-	-	-	ST+60, HP-30
ストーンヘイル	ビギンズ	巻N	G20	-	-	-	-	巻物攻撃[ST30] : 巻物強打[{風}]
スパイクシールド	ビギンズ	防S	G40	-	-	-	-	攻撃反射(ダメージの50%)
スリング	ビギンズ	道N	G20	-	-	-	-	AT+10；HP+10；先制
ダイヤアーマー	ビギンズ	防S	G60	-	-	-	-	後手 ; ST-30, HP+60
チェインメイル	ビギンズ	防N	G10	-	-	-	-	HP+30
ティアリングハロー	ビギンズ	巻S	G60	-	-	-	-	魔術：30ダメージ；魔術強打(使用クリーチャーが{無}でない場合)；戦闘中、アイテム破壊とアイテム盗みの効果は発動しない
トライデント	ビギンズ	武N	G50	-	-	-	-	ST+40, HP+20
ドリルランス	ビギンズ	武S	G50	-	-	-	-	ST+20 ; 貫通[全]
ネクロスカラベ	ビギンズ	道S	G60	-	-	-	-	使用クリーチャーが破壊された場合、"スケルトン"として復活する
バタリングラム	ビギンズ	武N	G40	-	-	-	-	ST+30 ; 即死[防御型の能力を持つクリーチャー・100%]
バトルアックス	ビギンズ	武N	G30	-	-	-	-	AT+40
ファイアーシールド	ビギンズ	防S	G25	-	-	-	-	無効化[{火}] : {火}クリーチャーが使用した場合、無効化[通常攻撃]
ファイアーボルト	ビギンズ	巻N	G20	-	-	-	-	巻物攻撃[ST30] : 巻物強打[{水}]
ファルコンソード	ビギンズ	武N	G30	-	-	-	-	先制 : ST+20
ブーメラン	ビギンズ	武S	G50	-	-	-	-	ST+20, HP+10 ; 復帰[手札]
フュージョン	ビギンズ	巻R	G120	-	-	-	-	巻物攻撃[ST50]
フリーズ	ビギンズ	巻N	G20	-	-	-	-	巻物攻撃[ST30] : 巻物強打[{火}]
プリズムワンド	ビギンズ	武S	G70	-	-	-	-	戦闘相手と属性が違う場合、ST+40, HP+40
フレイムタン	ビギンズ	武N	G25	-	-	-	-	AT+30；強打[{水}]
プレートメイル	ビギンズ	防R	G60	-	-	-	-	HP+50
プロテウスリング	ビギンズ	道R	G0	-	-	-	-	使用クリーチャーはランダムな別のクリーチャーに変身する : アイテム破壊と盗みの効果を受けない
ベストメント	ビギンズ	防S	G50	-	-	-	-	HP+30 : アイテム破壊と盗みの効果を受けない
ペトリフストーン	ビギンズ	道N	G20	-	-	-	-	ST=0 ; HP=80
マジックシールド	ビギンズ	防N	G20	-	-	-	-	HP+30 ; 無効化[巻物攻撃]
メイス	ビギンズ	武N	G0	-	-	-	-	ST+20
モーニングスター	ビギンズ	武N	G30	-	-	-	-	AT+30；HP+10
ラットハンター	ビギンズ	道R	G50	-	-	-	-	攻撃成功時、対戦相手を"G・ラット"に変える
レザーアーマー	ビギンズ	防N	G0	-	-	-	-	HP+20
ロックバイター	ビギンズ	武N	G25	-	-	-	-	ST+30 : 強打[{地}]
ロングソード	ビギンズ	武N	G10	-	-	-	-	AT+30
ロングボウ	ビギンズ	武S	G50	-	-	-	-	ST+20 : HP+30
