カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
アベンジャー	ビギンズ	火S	G80	30	30	-	-	戦闘中、ST&HP+(使用者の順位x10)
アレス	ビギンズ	火R	G90+火+火	50	60	水	-	応援[侵略側・ST+20]
ウィルオウィスプ	ビギンズ	火S	G60	10	50	-	武	後手 : 攻撃成功時、相手セプターから残りHPxG2の魔力を奪う
エグゼクター	ビギンズ	火N	G40+□	70	20	-	武	-
オールドウィロウ	ビギンズ	火R	G70+火+火	20	40	-	武道巻	防御型 ; {火}土地に配置した場合、通過する敵セプターを止まらせる
ガスクラウド	ビギンズ	火N	G45	30	30	-	防	無効化[通常攻撃・受けるダメージの1/2]
キメラ	ビギンズ	火N	G80+火	30	50	-	巻	先制 ; 使用者が周回完了するごとにST+10 (最大100)
キングバラン	ビギンズ	火N	G100	60	50	-	巻	-
グラディエーター	ビギンズ	火N	G75	40	40	-	防巻	強打[{火}{水}{地}{風}]
ケットシー	ビギンズ	火N	G50	20	30	水	-	無効化[ST40以上] ; 防魔
ケマゾツ	ビギンズ	火S	G50+火	20	40	-	防	戦闘中、ST+(対戦相手のST) : 敵破壊時、相手セプターは最も多く持つ護符1種を30%失う
ゴーレム	ビギンズ	火N	G70	40	50	-	-	戦闘終了時、ST-10
コボルド	ビギンズ	火N	G20	20	30	-	-	-
コンジャラー	ビギンズ	火S	G45	20	30	-	武	巻物強打[全] ; 秘術[G80・選んだ空地に"バ=アル"を配置し、これは破壊される]
サラマンダー	ビギンズ	火N	G70+火	40	50	水	防	攻撃無効[{火}]；(無効にしたダメージ分、HPが増加する)
シャラザード	ビギンズ	火S	G50	20	30	-	-	援護[{火}{地}] ; 秘術[G30・全てのセプターについた{呪}を消す]
ソン＝ギョウジャ	ビギンズ	火R	G60	0	30	-	-	援護 : 援護クリーチャーの能力を発動させる
ドモビー	ビギンズ	火S	G20	10	20	-	-	秘術[G80・対象自クリーチャーに{呪}"防魔"をつける]
ドモボーイ	ビギンズ	火S	G10	20	20	-	-	領地[G30・対象の領地に"ファンタズム"の{呪}効果を付ける]
ドラゴン	ビギンズ	火R	G100+火+火	40	60	水	防	先制 : 侵略側の場合、戦闘中、ST+20、HP-20
ドラゴンフライ	ビギンズ	火N	G20	30	20	-	巻	先制
バ＝アル	ビギンズ	火N	G40+火+□	50	50	-	-	先制 ; 戦闘終了時、使用者の手札をランダムに1枚破壊する
バルキリー	ビギンズ	火S	G70+火	30	30	-	-	援護[{無}{火}{地}] ; 先制 ; 敵破壊時、ST+10 (最大100)
ピラーフレイム	ビギンズ	火N	G30	30	50	-	防巻	防御型
ファイアージャイアント	ビギンズ	火N	G95+火	50	50	-	-	強打[{水}]
ファイアービーク	ビギンズ	火R	G95+火	50	40	-	防巻	先制 ; 貫通[{水}{風}] ; 強打[{水}{風}]
フェイ	ビギンズ	火N	G70	20	40	水	-	巻物強打[全] ; 秘術[G50・対象クリーチャーのST+20 (最大100)]
フェニックス	ビギンズ	火N	G40	30	30	-	巻	戦闘で破壊された時、手札に復帰する
フレイムアコライト	ビギンズ	火	?	-	-	-	-	-
フレイムロード	ビギンズ	火R	G140+火+火+□	70	70	水	-	応援[{火}・HP+10] : 戦闘終了時、使用者はG100の魔力を失う
ヘルハウンド	ビギンズ	火N	G80	50	40	-	-	{水}クリーチャーに対し1/2のダメージしか与えられない
ミノタウロス	ビギンズ	火N	G60	40	40	-	-	-
