カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
アースシフト	ビギンズ	単瞬N	G100	-	-	-	-	対象自領地を{地}に変える
アイスストーム	ビギンズ	複瞬S	G80	-	-	-	-	全ての{火}クリーチャーに20ダメージ
アンチエレメント	ビギンズ	単呪S	G50	-	-	-	-	対象クリーチャーは地形効果を得られない : カードを1枚引く
イビルブラスト	ビギンズ	単瞬R	G100	-	-	-	-	対象敵クリーチャーに30ダメージ
イレイジャー	ビギンズ	複瞬E	G50	-	-	-	-	クリーチャーとセプターに付いた全ての{呪}効果を消す
インフルエンス	ビギンズ	単瞬S	G80	-	-	-	-	対象領地をその所有者が最も多く持つ領地の属性に変える
ウォーターシフト	ビギンズ	単瞬N	G60	-	-	-	-	対象自領地を{水}に変える
エアーシフト	ビギンズ	単瞬N	G100	-	-	-	-	対象自領地を{風}に変える
エクスプロード	ビギンズ	複瞬S	G80	-	-	-	-	全ての{水}クリーチャーに20ダメージ
エスケープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い空き地に飛ぶ(使用者はこのターンのダイスを使えない)
オーロラ	ビギンズ	複瞬S	G50	-	-	-	-	全ての護符の価値を20%上げる
ギフト	ビギンズ	単瞬S	G80	-	-	-	-	自分の現在の順位×G50の魔力を得る；自分の現在の順位と同じ枚数のカードを引く
クインテッセンス	ビギンズ	単瞬R	G80	-	-	-	-	レベル4以下の対象領地を{複}に変える
グレース	ビギンズ	単瞬N	G30	-	-	-	-	使用者は対象セプターの持つ護符総額の15%の魔力を得る
グロースボディ	ビギンズ	単瞬N	G20	-	-	-	-	対象クリーチャーのMHP+10 (最大100)
サブサイド	ビギンズ	単瞬R	G100+□	-	-	-	-	対象敵セプターの最もレベルの高い領地のうち1つのレベルを1下げる ; 合成["サブサイド"・対象は"全てのセプターそれぞれ"となる]
サンダーストーム	ビギンズ	複瞬S	G80	-	-	-	-	全ての{地}クリーチャーのHP-20
シャッター	ビギンズ	単瞬N	G30	-	-	-	-	対象敵セプターの手札からアイテムかスペルカードを1枚選び、破壊する
シュリンク	ビギンズ	単瞬N	G30	-	-	-	-	対象敵クリーチャーのMHP-10
スクイーズ	ビギンズ	単瞬S	G50	-	-	-	-	対象セプターの手札からカードを1枚選び、破壊する；カードを破壊されたセプターはG150の魔力を得る
デスクラウド	ビギンズ	複瞬S	G80	-	-	-	-	全ての{風}クリーチャーのHP-20
テンペスト	ビギンズ	複瞬R	G200	-	-	-	-	AT40以下の全てのクリーチャーに20ダメージ
トライアンフ	ビギンズ	単呪N	G20	-	-	-	-	城を通過するまで、使用者の次の周回ボーナスは1.5倍になる
ドレインマジック	ビギンズ	単瞬S	G80	-	-	-	-	使用者は対象敵セプターから、所持魔力の30%を奪う
パーミッション	ビギンズ	単瞬N	G100	-	-	-	-	使用者は全ての砦を通過したことになる
バインドミスト	ビギンズ	単呪S	G40	-	-	-	-	対象クリーチャーに{呪}"戦闘行動不可"をつける (攻撃やアイテム使用ができず、能力が発動しない)
ピース	ビギンズ	単呪S	G70	-	-	-	-	対象クリーチャーに、{呪}停戦の効果を付ける(対象のいる領地は侵略を受けなくなり、通行料がG0になる)
ファイアーシフト	ビギンズ	単瞬N	G100	-	-	-	-	対象自領地を{火}に変える
ファンタズム	ビギンズ	単呪N	G30	-	-	-	-	対象クリーチャーに、{呪}HP固定の効果を付ける(HP、最大HPがスペルの効果を受けなくなる)
フォーサイト	ビギンズ	単瞬S	G30	-	-	-	-	使用者のブックの上から6枚を見て、1枚選び、手札に加える
フォッグ	ビギンズ	単呪N	G30	-	-	-	-	対象クリーチャーに、{呪}通行料減少の効果を付ける(対象のいる領地の通行料が0.5倍になる)：カードを1枚引く
フォレストリープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い{地}土地に飛ぶ (使用者はこのターンのダイスを使えない)
フライ	ビギンズ	単瞬N	G50	-	-	-	-	使用者はこのターンダイスを2つ使い、その合計分進める
プレーンリープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い{風}土地に飛ぶ(使用者はこのターンのダイスを使えない)
ヘイスト	ビギンズ	単呪S	G70	-	-	-	-	対象セプターに{呪}"ダイス6～8"をつける (次から2回のダイスを6～8にする)
ホープ	ビギンズ	単瞬N	G40	-	-	-	-	使用者はブックからカードを2枚引く
ホーリーワード１	ビギンズ	単呪N	G30	-	-	-	-	対象セプターに、{呪}ダイス制限1の効果を付ける(次のダイスが必ず1になる)
ホーリーワード３	ビギンズ	単呪N	G10	-	-	-	-	対象セプターに、{呪}ダイス制限3の効果を付ける(次のダイスが必ず3になる)
ホーリーワード６	ビギンズ	単呪N	G50	-	-	-	-	対象セプターに、{呪}ダイス制限6の効果を付ける(次のダイスが必ず6になる)
ホーリーワード８	ビギンズ	単呪S	G80	-	-	-	-	対象セプターに{呪}"ダイス8"をつける (次のダイスを8にする)
マウンテンリープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い{火}土地に飛ぶ (使用者はこのターンのダイスを使えない)
マジックボルト	ビギンズ	単瞬N	G50	-	-	-	-	対象敵クリーチャーに20ダメージ
マスグロース	ビギンズ	複瞬S	G30+□	-	-	-	-	全てのクリーチャーのMHP+5 (最大100) ; 合成[アイテム・対象は"全ての自クリーチャーのMHP+5 (最大100)"となる]
マナ	ビギンズ	単瞬N	G0	-	-	-	-	使用者は(周回数+1)×G100の魔力を得る
メテオ	ビギンズ	単瞬R	G200+□	-	-	-	-	対象の領地のレベルを2下げる : 対象の領地が連鎖していない場合、レベルを1にする
ライフストリーム	ビギンズ	複瞬N	G50	-	-	-	-	全ての自クリーチャーのHPを全回復する
ランドプロテクション	ビギンズ	単呪N	G80	-	-	-	-	対象の領地に防魔の{呪}効果を付ける
リコール	ビギンズ	単瞬S	G90	-	-	-	-	使用者は城に飛ぶ (使用者はこのターンのダイスを使えない)
リバイバル	ビギンズ	単瞬R	G80	-	-	-	-	対象セプターのブックを対戦開始時の状態に戻す
リベレーション	ビギンズ	単呪S	G50	-	-	-	-	使用者に、{呪}全領地開発の効果を付ける(2ラウンドの間、全ての領地に対して領地開発を使用できる)
リムーブカース	ビギンズ	単瞬N	G20	-	-	-	-	対象クリーチャーに付いた{呪}効果を消す：使用後、ブックに復帰する
リリーフ	ビギンズ	単瞬N	G30	-	-	-	-	2体の対象自クリーチャーを交換する ; 復帰[ブック]
リンカネーション	ビギンズ	単瞬R	G70	-	-	-	-	使用者は手札を全て捨て、その枚数+1枚のカードを引く
レイオブロウ	ビギンズ	複瞬S	G60	-	-	-	-	全てのセプターの手札の使用魔力G100以上のカードを破壊する
レイクリープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い{水}土地に飛ぶ (使用者はこのターンのダイスを使えない)
ローカスト	ビギンズ	単瞬S	G100	-	-	-	-	対象の領地のレベルを1下げる
